num_etudiant;2016/2017;2017/2018;2018/2019;2019/2020;2020/2021;last_annee_validee;last_diplome_valide;moyenne
21400617;L3 PS_Maths - S1;Hors;Hors;Hors;Hors;2016/2017;L3;15.87
21403433;L3 PS_Maths - S1;Hors;Hors;Hors;Hors;2016/2017;L3;15.69
21402296;L3 PS_Maths - S1;Hors;M1 MAPI3 - S1;M2 RO - S1;Hors;2019/2020;M2;16.3
21300434;L3 PS_Maths - S1;Hors;Hors;M2 RI - S2;Hors;2019/2020;M2;11.57
21403306;L3 PS_Maths - S1;Hors;Hors;Hors;Hors;2016/2017;L3;12.54
21403495;L3 PS_Maths - S1;Hors;M1 MAPI3 - S1;M2 MAPI3 - S2;Hors;2019/2020;M2;12.6
21404368;L3 PS_Maths - S1;Hors;Hors;Hors;Hors;2016/2017;L3;11.04
21400928;L3 PS_Maths - S1;Hors;Hors;M2 RI - S2;Hors;2016/2017;L3;10.98
21501628;Hors;L3 PS_Maths - S2;Hors;M2 ESR - S1;Hors;2019/2020;M2;14.27
21503296;Hors;L3 PS_Maths - S2;Hors;Hors;Hors;None;None;None
21708976;Hors;Hors;Hors;L3 PS_Maths - S2;Hors;2019/2020;L3;13.83
21704503;Hors;Hors;Hors;L3 PS_Maths - S2;Hors;2019/2020;L3;11.56
21704647;Hors;Hors;Hors;L3 PS_Maths - S2;Hors;2019/2020;L3;11.55
21705347;Hors;Hors;Hors;L3 PS_Maths - S2;L3 PS_Maths - S1;2020/2021;L3;9.93
21701966;Hors;Hors;Hors;L3 PS_Maths - S2;L3 E - S1;2020/2021;L3;None
21708306;Hors;Hors;Hors;L3 PS_Maths - S2;Hors;None;None;None
21600550;Hors;Hors;Hors;L3 PS_Maths - S2;Hors;None;None;None
21701334;Hors;Hors;Hors;L3 PS_Maths - S2;Hors;None;None;None
21507904;Hors;M2 SID - S2;Hors;Hors;Hors;2017/2018;M2;12.82
21709711;Hors;M2 SID - S2;Hors;Hors;Hors;2017/2018;M2;11.25
21710674;Hors;L3 MAPI3 - S2;M1 MAPI3 - S2;Hors;Hors;2018/2019;M1;9.12
21508671;Hors;M1 MAPI3 - S2;M1 MAPI3 - S2;Hors;Hors;None;None;None
21706899;Hors;L3 MAPI3 - S1;M1 MAPI3 - S1;M2 MAPI3 - S1;Hors;2019/2020;M2;13.93
21710517;Hors;M1 MAPI3 - S2;M1 MAPI3 - S2;M1 MAPI3 - S1;Hors;2019/2020;M1;8.64
21408366;Hors;M1 MAPI3 - S2;M1 MAPI3 - S2;Hors;Hors;None;None;None
21403925;L2 Maths - S2;L3 MAPI3 - S2;M1 MAPI3 - S2;M2 MAPI3 - S1;Hors;2019/2020;M2;10.48
21504244;L2 Maths - S1;L3 MAPI3 - S1;M1 MAPI3 - S1;M2 MAPI3 - S1;Hors;2019/2020;M2;11.59
21404744;L2 Maths - S1;L3 MAPI3 - S2;M1 MAPI3 - S2;M2 MAPI3 - S2;Hors;2019/2020;M2;11.63
21108688;Hors;M1 MAPI3 - S2;M1 MAPI3 - S1;M2 MAPI3 - S2;Hors;2019/2020;M2;13.43
21500327;L2 CUPGE - S1;L3 MAPI3 - S1;M1 MAPI3 - S2;M2 MAPI3 - S1;Hors;2019/2020;M2;11.63
21710139;Hors;L3 MAPI3 - S1;M1 MAPI3 - S2;M1 MAPI3 - S2;Hors;2019/2020;M1;11.2
21508595;L3 MAPI3 - S2;L3 MAPI3 - S1;M1 MAPI3 - S2;M1 MAPI3 - S1;Hors;2019/2020;M1;9.56
21815719;Hors;Hors;M1 MAPI3 - S2;M1 MAPI3 - S2;Hors;2019/2020;M1;11.31
21607618;L2 Maths - S1;L3 MAPI3 - S1;M1 MAPI3 - S2;Hors;Hors;2018/2019;M1;12.3
21605003;L2 Maths - S1;L3 ESR - S1;M1 MAPI3 - S1;Hors;Hors;2018/2019;M1;15.24
21303142;L2 Maths - S1;L3 MAPI3 - S1;M1 MAPI3 - S2;M1 MAPI3 - S2;Hors;2017/2018;L3;11.68
21807976;Hors;Hors;M1 MAPI3 - S1;M2 MAPI3 - S1;Hors;2019/2020;M2;14.11
21503132;L2 Maths - S1;L3 ESR - S1;M1 MAPI3 - S1;M2 MAPI3 - S2;Hors;2019/2020;M2;11.43
21503005;L2 Maths - S2;L3 MAPI3 - S1;M1 MAPI3 - S1;M2 MAPI3 - S2;Hors;2019/2020;M2;11.39
21605661;L2 Maths - S1;L3 MAPI3 - S1;M1 MAPI3 - S1;M2 MAPI3 - S1;Hors;2019/2020;M2;12.92
21816092;Hors;Hors;M1 MAPI3 - S2;Hors;Hors;None;None;None
21808111;Hors;Hors;M1 MAPI3 - S1;Hors;Hors;2018/2019;M1;14.69
